ID,Leaf.ammonia,Leaf.nitrate,Leaf.urea,Root.ammonia,Root.nitrate,Root.urea
AT1G01030,0.724,0.375,0.981,2.179,1.406,1.54
AT1G01260,3.086,3.155,3.265,4.79,4.841,4.499
AT1G05710,0.421,1.12,0.525,9.566,14.149,14.741
AT1G05805,20.029,13.822,15.72,18.564,13.657,18.523
AT1G09250,21.223,13.521,28.227,17.879,17.68,15.372
AT1G18790,0,0,0,0,0.013,0.013
AT1G22380,7.632,0.274,6.373,0.008,0,0.023
AT1G25310,0,0,0,0.208,0.089,0.168
AT1G25560,73.729,58.92,56.824,33.553,35.825,29.722
AT1G27660,1.699,2.157,2.103,5.645,5.387,7.553
AT1G28300,0.009,0.005,0.006,0.013,0.006,0
AT1G29950,0.561,0.582,0.531,0.957,1.364,1.124
AT1G31050,0.008,0.044,0.02,8.008,6.212,8.402
AT1G51070,10.937,11.924,11.878,37.634,21.521,34.663
AT1G51140,8.879,24.486,11.886,25.273,16.7,17.258
AT1G61660,1.644,2.965,2.472,12.773,11.094,12.892
AT1G62975,0.962,0.407,0.811,33.175,32.831,20.826
AT1G63650,0.101,0.231,0.085,1.172,1.013,1.021
AT1G64625,0.118,0.214,0.131,1.052,1.965,1.174
AT1G68240,0,0.016,0,0.006,0.157,0.053
AT1G69010,8.224,9.291,8.381,12.709,13.516,11.709
AT1G71200,0,0.01,0.011,0.191,0.109,0.16
AT1G74480,0,0,0,0,0,0.014
AT1G74500,0,0.023,0,12.113,10.922,5.576
AT2G16910,0.153,0.276,0.058,0,0.013,0.006
AT2G20180,4.1,2.403,3.39,0.853,0.246,0.353
AT2G22750,0,0,0.004,0.052,0.187,0.009
AT2G22760,0.124,0.182,1.305,4.914,12.089,8.213
AT2G22770,2.642,0.832,4.941,39.173,26.689,29.772
AT2G27230,0,0,0,0,0,0
AT2G30470,7.404,6.386,7.077,8.678,7.843,7.649
AT2G31215,0,0,0.034,0,0,0
AT2G31220,0.213,0.415,0.175,0.622,0.566,0.999
AT2G31280,3.1,2.393,3.123,8.935,7.527,9.411
AT2G31730,1.447,3.747,2.109,7.945,14.083,12.015
AT2G41130,0.896,2.077,1.097,11.225,10.569,7.297
AT2G41240,0.424,0.177,0.235,0.008,0.039,0
AT2G42280,1.27,1.277,1.245,1.275,0.786,1.206
AT2G43060,16.159,14.861,13.68,20.909,7.892,14.752
AT2G43140,0.042,0.153,0.029,1.694,0.871,1.205
AT2G46510,37.107,29.929,54.395,54.941,50.733,66.962
AT2G46970,0.284,0.488,0.375,1.926,3.007,2.195
AT2G47270,6.094,3.381,7.148,16.173,10.125,7.123
AT3G05800,13.449,6.65,14.107,4.363,8.641,4.134
AT3G06590,3.442,4.075,3.396,5.699,5.593,5.156
AT3G17010,0.049,0.051,0.007,0.192,0.284,0.076
AT3G17100,23.374,17.812,20.015,17.486,12.338,15.654
AT3G18990,8.732,10.781,8.767,22.55,23.788,23.715
AT3G19500,0.438,0.485,0.38,10.532,12.418,18.78
AT3G19860,12.248,13.841,10.294,8.873,5.689,8.497
AT3G20640,0.47,0.809,0.8,6.639,5.858,8.574
AT3G22100,0.429,0.228,0.517,0.337,0.381,0.337
AT3G24650,0.004,0.004,0.004,0,0.013,0
AT3G26744,7.998,7.754,8.27,4.856,5.654,4.893
AT3G26790,0.645,0.721,0.378,0.015,0.014,0.021
AT3G47710,0,0.084,0,3.548,5.411,1.229
AT3G56770,0.343,0.677,0.394,4.138,4.098,3.319
AT3G62090,0.552,0.743,0.49,5.212,3.877,3.48
AT4G00050,3.946,4.346,6.356,0.027,0.007,0
AT4G00480,0.501,1.353,0.607,2.411,1.98,2.133
AT4G00870,0.886,1.787,0.592,0.389,1.191,0.888
AT4G05170,0.096,0.042,0.174,0.358,0.4,0.099
AT4G14410,11.192,12.962,11.269,27.708,21.596,29.659
AT4G20970,1.192,1.212,1.905,0.193,0.018,0.048
AT4G21330,0,0,0,0.02,0.022,0.04
AT4G21340,0,0,0,0.368,0.832,0.176
AT4G21550,0.684,0.805,0.76,2.13,1.763,2.17
AT4G25400,0,0,0.018,16.703,5.135,10.914
AT4G25410,0.049,0.134,0.216,8.251,6.544,4.8
AT4G28790,0.159,0.183,0.069,0.094,0.052,0.141
AT4G28811,0.011,0.01,0,0.041,0.017,0.027
AT4G28815,0,0.017,0.011,0.034,0.029,0.068
AT4G30080,6.615,8.312,7.559,8.762,5.788,6.509
AT4G30180,1.618,4.254,2.361,0.955,0.135,0.17
AT4G30410,0.876,1.926,1.223,5.202,4.848,5.802
AT4G32010,5.12,6.43,4.786,9.024,9.163,8.179
AT4G35590,0.205,0.496,0.124,1.492,1.22,1.769
AT4G36060,0.313,0.196,0.404,3.188,2.241,3.671
AT5G04150,0.967,0.528,0.455,1.574,0.656,0.775
AT5G09460,0,0,0,0,0,0
AT5G15160,1.641,1.53,1.33,0.286,0.375,0.383
AT5G38860,4.407,4.694,4.169,5.661,4.495,5.994
AT5G39860,0.765,0.442,1.266,0.075,0.016,0.029
AT5G41315,0.09,0.26,0.138,1.045,1.065,0.658
AT5G43175,0,0,0,0.062,0.098,0
AT5G50010,0,0,0,0,0,0
AT5G50915,3.546,6.009,7.218,0.012,0.032,0.019
AT5G51790,0.395,0.992,1.976,15.379,15.552,23.683
AT5G53040,0,0,0,0.016,0,0
AT5G54680,31.984,31.293,31.417,39.907,37.658,38.928
AT5G64340,0,0,0,0,0,0
AT5G66990,0,0,0,0,0,0
