"# Mortality rate, infant (per 1,000 live births)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Angola,AGO,,,,,,,,,,,,,,,,,,,,,140.7,139.2,137.3,135.9,134.7,133.6,132.9,132.4,132,131.9,132,132.1,132.1,132.2,132.1,131.7,130.8,129.5,127.5,125.1,122.2,118.9,115.1,110.8,106.2,101.3,96.2,91,85.8,80.7,76
Albania,ALB,,,,,,,,,,,,,,,,,,,75.9,70.5,65.6,61,56.6,52.8,49.4,46.2,43.4,41,38.8,36.9,35.2,33.8,32.5,31.4,30.2,29.1,27.9,26.7,25.4,24.2,23,21.8,20.6,19.4,18.3,17.1,16,14.9,13.9,12.9,11.9
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,12.2,11.6,11,10.4,9.9,9.4,8.9,8.5,8.1,7.7,7.3,7,6.7,6.4,6.2,5.9,5.7,5.5,5.3,5.1,4.9,4.7,4.5,4.3,4.1,3.9
Arab World,ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.16866595,56.49775393,54.97385978,53.51456425,52.10624745,50.67286859,49.28315908,47.9481438,46.59667457,45.2544628,43.94684997,42.6529596,41.38842828,40.11889954,38.92260513,37.68486509,36.4924658,35.26357925,34.03853036,32.88489116,31.81526068
United Arab Emirates,ARE,134.1,127.8,121.7,115.7,109.4,103,96.3,89.7,83.1,76.7,70.5,64.7,59.4,54.5,50.1,45.9,41.9,38.3,34.9,31.8,29.1,26.5,24.3,22.4,20.8,19.4,18.1,17,16,15.1,14.3,13.5,12.9,12.3,11.8,11.3,10.9,10.6,10.2,9.9,9.6,9.4,9.1,8.9,8.6,8.3,8.1,7.9,7.6,7.4,7.3
Argentina,ARG,,,,,,,,,,59.6,59,58.3,57.4,56.3,54.7,52.7,50.1,46.9,43.6,40.1,37,34.2,31.8,29.9,28.2,27,26.1,25.7,25.6,25.5,25.3,24.9,24.2,23.3,22.4,21.5,20.5,19.7,18.9,18.2,17.5,16.9,16.3,15.8,15.3,14.8,14.4,14,13.7,13.3,12.9
Armenia,ARM,,,,,,,,,,,,,,,,,69.3,66.8,64.4,62.1,59.8,57.8,55.8,53.8,51.9,50.2,48.5,46.7,49,43.5,41.8,40.2,38.6,37,35.5,34,32.5,31.1,29.7,28.4,27.1,25.8,24.6,23.5,22.4,21.3,20.2,19.3,18.3,17.4,16.5
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,,,,,,,,,,,,,,,,,,,,,,,,,,32.4,30.3,28.5,26.7,25.1,23.6,22.2,20.9,19.6,18.5,17.4,16.4,15.5,14.7,13.9,13.1,12.5,11.9,11.3,10.8,10.2,9.7,9.2,8.7,8.2,7.7
Australia,AUS,20.3,19.9,19.5,19.1,18.7,18.5,18.3,18.2,18.1,18,17.8,17.4,16.9,16.1,15.3,14.4,13.5,12.6,11.9,11.3,10.8,10.4,10.1,9.8,9.6,9.3,9.1,8.8,8.4,8,7.6,7.1,6.7,6.3,6,5.8,5.6,5.4,5.3,5.2,5.1,5,5,4.9,4.8,4.8,4.7,4.5,4.4,4.2,4
Austria,AUT,37.2,35,32.9,31.2,29.6,28.4,27.3,26.4,25.7,25.3,25.1,24.7,24.1,23,21.5,19.8,18.1,16.6,15.5,14.6,13.9,13.2,12.6,11.9,11.3,10.7,10.1,9.4,8.9,8.4,8,7.6,7.2,6.7,6.2,5.7,5.3,5,4.8,4.7,4.6,4.5,4.4,4.3,4.2,4.1,3.9,3.8,3.8,3.7,3.6
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,26.1,24,22.1,20.4,18.8,17.4,16.1,14.9,14.3,13.5,12.3,11.6,10.7,10.1,9.5,9,8.6,8.3,8.1,8,7.9,7.7,7.5,7.2,6.9,6.5,6.2
Belarus,BLR,,,,,,,,,,,,,,,,,,,,,17.2,16.5,15.8,15.2,14.7,14.2,13.7,13.2,12.7,12.3,12.1,12.1,12.2,12.3,12.4,12.4,12.2,11.9,11.3,10.7,9.9,9.1,8.4,7.7,7.1,6.5,6,5.5,5,4.6,4.2
Belize,BLZ,,,,,,,,78.6,75.6,72.7,70.1,67.6,65,62.7,60.5,58.3,56.4,54.5,52.7,51,49.3,47.6,45.9,44.1,42.4,40.6,38.7,36.8,34.9,33,31.2,29.5,27.9,26.5,25.3,24.2,23.2,22.3,21.5,20.7,20,19.4,18.9,18.5,18.2,17.8,17.6,17.3,17,16.6,16.2
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,175.2,172,168.9,165.7,162.6,159.4,156.1,152.9,149.6,146.4,143.1,139.8,136.4,133,129.5,126,122.6,119.3,116.2,113.2,110.5,107.9,105.4,103,100.4,97.8,95.1,92.3,89.4,86.5,83.7,81,78.2,75.5,72.7,69.9,67.1,64.3,61.4,58.5,55.7,52.9,50.2,47.7,45.2,42.8,40.6,38.4,36.4,34.4,32.6
Brazil,BRA,127.4,124.2,121,118,115.3,112.8,110.6,108.3,106.2,104.1,101.8,99.5,97.1,94.8,92.5,90.2,87.7,85.2,82.5,79.7,76.6,73.6,70.6,67.9,65.3,62.9,60.7,58.6,56.6,54.6,52.5,50.4,48.2,45.8,43.4,41,38.7,36.5,34.4,32.3,30.4,28.6,26.8,25.2,23.6,22.1,20.7,19.5,18.4,17.5,16.7
Barbados,BRB,69.6,65,61.1,57.6,54.4,51.6,49.1,46.9,44.9,42.9,40.9,38.9,37,35.1,33.3,31.5,29.7,28,26.4,24.9,23.6,22.4,21.4,20.6,19.9,19.3,18.7,18.1,17.5,16.8,16.1,15.5,14.9,14.4,14,13.7,13.5,13.4,13.4,13.6,13.7,14,14.1,14.3,14.3,14.3,14.2,14,13.9,13.6,13.5
Brunei Darussalam,BRN,,,,,,,,,,,,,,,,,,,,,,,,11.6,11.3,11,10.8,10.6,10.4,10.4,10.4,10.3,10.3,10.2,10,9.8,9.5,9.1,8.8,8.5,8.3,8.1,7.9,7.8,7.8,7.7,7.7,7.8,7.8,7.9,8
Bhutan,BTN,,,,,,,,,,187.4,181.7,176.2,170.6,165.1,159.9,154.7,149.6,145,140.3,135.5,130.9,126.1,121.6,117.2,113,108.9,104.8,100.8,96.8,93,89.3,85.8,82.4,79.1,75.8,72.6,69.5,66.4,63.4,60.5,57.8,55.1,52.5,49.9,47.4,44.9,42.5,40.3,38.1,36.1,34.2
Botswana,BWA,115.6,112.2,109.1,106,102.9,100,97,94.2,91.3,88.4,85.3,82.2,79,75.7,72.4,69,65.8,62.6,59.5,56.6,53.9,51.3,48.9,46.7,44.6,42.8,41.3,40,39.2,39,39.4,40.3,41.7,43,44.5,46,47.4,48.7,49.7,50.3,50,49.2,48.3,47.2,46,42.4,41.1,41.7,41.4,40.2,38.4
Central African Republic,CAF,,162.2,159.6,157.1,154.5,151.6,148.8,145.9,143,140.1,137.5,135.1,132.9,130.8,128.9,127.1,125.4,123.7,122.2,120.8,119.6,118.6,117.7,117.1,116.6,116.1,115.8,115.6,116,116.7,116.9,116.5,115.8,115.3,114.7,114.3,113.6,113,112.4,111.8,111.2,110.7,110,109.4,108.8,108,106.9,105.9,104.7,102.9,101.4
Canada,CAN,27.8,26.9,26,25,24.1,23.1,22.1,21.2,20.3,19.4,18.5,17.6,16.7,15.9,15,14.1,13.3,12.5,11.7,11,10.3,9.7,9.2,8.7,8.3,8,7.7,7.5,7.3,7,6.8,6.6,6.4,6.2,6,5.8,5.6,5.5,5.4,5.3,5.3,5.2,5.2,5.2,5.2,5.2,5.1,5.1,5,5,4.9
Central Europe and the Baltics,CEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.16081784,15.64679025,15.20726005,14.77583851,14.23408113,13.6584909,12.99834924,12.31816853,11.64612328,10.97650586,10.38640695,9.913938301,9.548068631,9.188928177,8.832396327,8.316067679,7.784129426,7.216571508,6.727298616,6.332373625,6.006195428
Switzerland,CHE,21.7,21.2,20.8,20.1,19.3,18.4,17.6,16.9,16.3,15.6,15,14.3,13.6,12.8,12,11.2,10.5,9.8,9.2,8.7,8.4,8,7.8,7.6,7.4,7.3,7.2,7.1,7,6.8,6.6,6.4,6.1,5.8,5.5,5.2,5,4.9,4.8,4.7,4.7,4.6,4.6,4.5,4.4,4.3,4.2,4.1,4,4,3.9
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",EGY,210.9,204,197.2,190.4,184.1,178.6,174.1,170.4,167.4,164.9,162.8,160.5,157.6,154,149.3,144.1,138.3,132.2,126,120,114.2,108.5,102.5,96.3,89.9,83.8,78.2,73.3,69.2,65.8,62.9,60.2,57.6,55,52.3,49.5,46.7,44.1,41.6,39.3,37.2,35.3,33.6,32.1,30.8,29.5,28.4,27.3,26.2,25.2,24.2
Euro area,EMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.942894729,7.603923754,7.231882605,6.803374892,6.398517277,6.036175332,5.65523972,5.36786019,5.146630066,4.935314564,4.760968964,4.604843194,4.438437325,4.267158642,4.113606592,3.99001329,3.859772261,3.74044352,3.6387744,3.560172002,3.490674353
Eritrea,ERI,,,,,,,,,,,,,,,126.7,124.1,121.7,119.5,117.5,115.9,114.4,112.9,111.5,110,108.4,106.7,104.7,102.5,99.9,96.9,93.6,89.9,85.8,81.4,77,72.7,68.6,65,61.8,58.9,56.3,53.9,51.7,49.8,47.9,46.2,44.7,43.2,41.8,40.5,39.2
Spain,ESP,,,,,,,,,,,,,,,20,18.5,17.1,15.7,14.5,13.4,12.4,11.5,10.8,10.1,9.6,9.2,8.8,8.4,8.1,7.8,7.4,7.1,6.7,6.3,5.9,5.6,5.2,4.9,4.7,4.5,4.4,4.3,4.1,4,3.9,3.8,3.7,3.6,3.4,3.3,3.2
Estonia,EST,,,,,,,,,,,,,,,,,,,,,17.7,17.1,16.5,15.9,15.4,15,14.7,14.5,14.3,14.1,14,13.8,13.7,13.4,13,12.4,11.7,10.9,10.1,9.4,8.7,8,7.3,6.7,6.1,5.6,5.1,4.7,4.3,3.9,3.6
Ethiopia,ETH,,,,,,,144.6,144.4,144.2,144.1,144,144,143.9,143.8,143.7,143.6,143.5,143.4,143,142.4,141.4,139.9,138.1,135.9,133.5,131.1,128.9,126.7,124.6,122.4,120.1,117.5,114.6,111.4,107.9,104.3,100.9,97.5,94.2,91,87.8,84.5,81,77.5,73.8,70.3,66.8,63.5,60.4,57.5,54.8
European Union,EUU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.883742707,9.408658244,8.931832637,8.464868504,7.997640468,7.574082922,7.14449272,6.775057883,6.441732201,6.149899166,5.893414639,5.6792541,5.484025866,5.291282805,5.11458329,4.926890936,4.729816169,4.53223928,4.346616129,4.209245511,4.075122926
Fragile and conflict affected situations,FCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.1257576,94.86867526,93.62897368,92.45402871,91.2100453,89.88935337,88.47157295,86.8611613,85.14027411,83.27020929,81.34388648,79.3517053,77.34937767,75.37554855,73.42630743,71.4737666,69.59163291,67.61751122,66.01215864,63.88178234,62.62221498
Finland,FIN,22,20.6,19.5,18.4,17.4,16.6,15.8,15.1,14.4,13.8,13.2,12.6,12,11.4,10.7,10.1,9.4,8.7,8.1,7.6,7.1,6.7,6.5,6.3,6.1,6,6,5.9,5.8,5.7,5.5,5.3,5,4.7,4.5,4.2,4,3.9,3.7,3.6,3.5,3.4,3.3,3.3,3.2,3.1,3,2.9,2.7,2.6,2.5
Fiji,FJI,57.3,55.2,53.3,51.6,50.1,48.8,47.6,46.6,45.8,45.1,44.6,44.2,43.8,43.4,42.8,42.1,41.1,40,38.6,37.1,35.5,34,32.6,31.2,30.1,29,28,27.1,26.1,25.3,24.4,23.5,22.8,22.1,21.5,21,20.6,20.2,19.9,19.6,19.3,19.1,19,19.1,19.3,19.5,19.8,20,20.2,20.2,20.2
United Kingdom,GBR,22.9,22.5,22,21.4,20.8,20.1,19.6,19.1,18.7,18.4,18,17.6,17.2,16.6,16,15.4,14.7,14.1,13.4,12.7,12.1,11.4,10.8,10.4,10,9.7,9.4,9.2,8.8,8.4,7.9,7.4,6.9,6.6,6.3,6.1,6,5.9,5.7,5.7,5.6,5.5,5.4,5.3,5.2,5.1,5,4.9,4.7,4.6,4.4
Georgia,GEO,,,,,,,,,,,,,,,,58.9,57,55,53.1,51.4,49.7,48.1,46.5,45.2,44,43.1,42.3,41.8,41.5,41.2,41,40.7,40.4,40,39.6,38.9,38,36.9,35.5,33.9,32.1,30.1,27.9,25.6,23.3,21.1,19,17.1,15.4,13.9,12.7
Ghana,GHA,124.3,123.1,122.1,121.4,121,120.8,120.7,120.7,120.7,120.5,120.1,119.3,118.1,116.4,114.2,111.6,108.9,106.2,104,102.3,101.1,100.2,99.5,98.4,96.9,94.7,92.1,89,85.8,82.7,79.8,77.5,75.6,74.3,73.3,72.3,71.1,69.7,68.1,66.2,64.2,62.1,60.2,58.5,56.9,55.5,54.2,52.8,51.2,49.4,47.5
Gibraltar,GIB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,,,,205.9,204.2,202.4,200.7,198.8,197,195.1,193.2,191.4,189.5,187.5,185.3,182.9,180.3,177.5,174.6,171.5,168.5,165.3,162.3,159.4,156.5,153.8,151,148.2,145.3,142.4,139.2,135.7,132,128.2,124.3,120.4,116.6,112.7,108.7,104.8,100.9,97.1,93.3,89.7,86.5,83.6,81.1,79,77.2,75.6,74.2
"Gambia, The",GMB,152.7,150.1,147.7,145.2,142.7,140.2,138,135.7,133.3,131,128.7,126.3,123.8,121.4,119,116.4,114,111.5,109.3,107.1,104.9,102.6,100.2,97.8,95.3,92.8,90.4,88,85.7,83.6,81.6,79.5,77.5,75.5,73.5,71.5,69.5,67.6,65.7,63.9,62.1,60.4,58.7,57.2,55.6,54,52.5,51,49.7,48.4,47.2
Guinea-Bissau,GNB,,,,,,,,,,,,,,,,,,,,,,,,,,143.8,141.1,138.7,136.4,134,131.5,129.1,126.7,124.3,121.8,119.2,116.5,113.8,111.1,108.3,105.5,102.6,99.5,96.3,92.9,89.5,86.1,82.5,79,75.6,72.3
Equatorial Guinea,GNQ,,,,,,,,,,,,,,,,,,,,,,,135,132.5,130.1,127.8,125.9,124.4,123.3,122.3,121.4,120.7,119.9,119.1,118.3,117.3,116.1,114.5,112.5,110.2,107.7,105.1,102.4,99.6,96.7,93.8,90.7,87.8,85,82.2,79.6
Greece,GRC,38.8,38,37.2,36.4,35.3,34.2,33.4,32.6,31.4,29.5,27.3,25.7,24.9,24.5,24,23.3,22.4,21.2,19.9,18.6,17.3,16.2,15.2,14.4,13.7,13,12.2,11.3,10.5,9.8,9.2,8.7,8.3,8,7.7,7.4,7.1,6.7,6.3,5.9,5.5,5.1,4.8,4.4,4.1,3.9,3.6,3.5,3.3,3.3,3.3
Grenada,GRD,,,,,,,,,,,,,,,,,,,,,,,,,,21.2,20.6,20,19.3,18.7,18.1,17.4,16.8,16.2,15.6,15.1,14.6,14.2,13.9,13.6,13.3,13.1,12.9,12.8,12.6,12.5,12.5,12.4,12.5,12.5,12.6
Indonesia,IDN,148.7,145.1,141.6,138.1,134.6,131.1,127.5,123.9,120.2,116.8,113.3,110,106.8,103.7,100.6,97.7,95,92.4,89.9,87.5,85.2,82.9,80.6,78.3,76,73.7,71.4,69.1,66.7,64.4,61.9,59.5,57.2,54.9,52.7,50.5,48.5,46.5,44.6,42.8,41.1,39.5,38,36.5,36.3,33.8,32.5,31.3,30.2,29.2,28.1
IDA only,IDX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.8778572,101.9386803,100.00093,98.09381202,96.24973889,94.04582212,91.85638472,89.66240251,87.40026957,84.84714242,82.22582704,79.42483888,76.5493845,73.71324056,70.9299295,68.27877004,65.81937269,63.40863416,61.27735792,59.02726478,57.25319582
Isle of Man,IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,161.4,159.1,156.9,154.9,153.1,151.3,149.6,148,146.4,144.7,142.9,141.1,138.9,136.6,134,131.2,128.1,124.8,121.3,118,114.7,111.6,108.7,105.9,103.4,100.9,98.4,95.9,93.4,90.9,88.6,86.3,84.2,82.1,80.1,78,75.8,73.5,71.2,68.9,66.6,64.3,62.1,59.9,57.8,55.7,53.6,51.5,49.4,47.3,45.1
Not classified,INX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,30.4,29.2,28.1,27.1,26,24.7,23.4,22,20.7,19.7,19,18.6,18.2,17.9,17.5,16.9,16.1,15.2,14.2,13.1,12,11,10.3,9.7,9.3,8.9,8.6,8.4,8.3,8,7.6,7.2,6.8,6.4,6.2,6.1,6.1,6.1,6.1,6.1,6,5.8,5.4,5.1,4.7,4.4,4.1,3.9,3.7,3.6,3.5
"Iran, Islamic Rep.",IRN,,,,,,,,,,,,125.5,119.9,114.7,109.6,104.2,98.7,92.9,87.2,81.5,76.1,71,66.5,62.5,59,56,53.2,50.6,48.1,45.8,43.7,41.7,40,38.3,36.9,35.4,34,32.6,31.2,29.7,28.2,26.8,25.5,24.2,23,21.8,20.7,19.6,18.6,17.7,16.9
Iraq,IRQ,129.4,122.5,116.2,110.5,105.2,100.4,95.8,91.6,87.7,84,80.5,77.2,74.1,71.1,68.3,65.6,63,60.6,58.3,56.3,54.4,52.7,51.1,49.6,48.3,47,45.8,44.7,43.8,42.9,42.1,41.3,40.6,40,39.4,38.7,38.1,37.5,36.8,36.1,35.5,34.8,34.2,33.6,33,32.3,31.6,30.9,30.2,29.4,28.6
Iceland,ISL,17.3,17,16.7,16.3,15.9,15.4,14.9,14.4,13.9,13.3,12.8,12.3,11.8,11.3,10.8,10.3,9.8,9.2,8.7,8.2,7.8,7.3,7,6.6,6.3,6.1,5.9,5.7,5.5,5.3,5.1,4.9,4.7,4.5,4.3,4.1,3.9,3.7,3.5,3.4,3.2,3,2.9,2.8,2.6,2.5,2.4,2.3,2.2,2.1,2
Israel,ISR,,,,,,,,,,,,,,,24.8,22.4,20.3,18.6,17.2,16.1,15.3,14.6,14,13.4,12.8,12.1,11.5,11,10.5,10.1,9.7,9.2,8.7,8.2,7.6,7.1,6.7,6.4,6.1,5.9,5.6,5.4,5.2,5,4.7,4.5,4.3,4.1,3.9,3.8,3.7
Italy,ITA,44.2,42.6,40.9,39.1,37.4,35.7,34.3,33.1,32,30.9,29.7,28.2,26.5,24.5,22.4,20.5,18.8,17.3,16.1,15.1,14.2,13.4,12.7,11.9,11.2,10.5,9.9,9.5,9,8.7,8.4,8,7.7,7.3,6.8,6.4,6,5.6,5.3,5,4.7,4.5,4.3,4.1,3.9,3.8,3.7,3.6,3.5,3.4,3.4
Japan,JPN,30.4,27.9,25.4,23.1,21,19.1,17.6,16.3,15.1,14.2,13.4,12.6,11.9,11.2,10.6,10,9.4,8.8,8.3,7.8,7.4,7,6.5,6.2,5.8,5.5,5.2,5,4.8,4.7,4.6,4.5,4.4,4.4,4.2,4.1,4,3.8,3.6,3.4,3.3,3.1,3,2.9,2.8,2.8,2.7,2.6,2.5,2.4,2.4
Kazakhstan,KAZ,,,,,,,,,,,,68.2,66.7,65.4,64.2,63,62,61.1,60.1,59,57.6,56,54.4,52.7,51.1,49.7,48.3,46.9,45.7,44.9,44.4,44.3,44.5,44.8,45,44.8,44,42.6,40.9,39,36.9,34.9,33,31.1,29.4,27.6,25.7,23.8,21.9,20,18.1
Kenya,KEN,118.2,113.7,109.7,106.4,103.7,101.6,99.9,98.2,96.6,94.9,93.1,91.3,89.3,87.2,85,82.6,80.1,77.6,75,72.6,70.4,68.4,66.6,65.2,64.1,63.4,63.3,63.7,64.7,66.1,67.7,69.4,70.7,71.7,72,71.7,70.7,69.5,67.8,65.9,63.7,61.3,58.6,55.7,52.8,49.6,46.7,44.2,41.4,39.9,38.6
Kyrgyz Republic,KGZ,,,,,,,,,,,,,,,,87.8,86.2,84.5,82.8,80.9,78.7,76.3,73.6,70.7,67.7,64.7,61.7,58.9,56.5,54.8,53.9,53.7,53.7,53.8,53.5,52.4,50.6,48.6,46.4,44.3,42.2,40.3,38.6,37,35.4,34.1,32.7,31.2,29.6,27.8,26.1
Cambodia,KHM,,,,,,,,,,,,,,,,177.7,165.7,154.4,141.9,128.9,116.4,105.4,96.9,91.4,88.3,86.5,85.5,85,84.8,84.7,84.7,84.8,85.1,85.5,86.1,86.6,86.9,86.7,85.8,83.5,79.5,73.8,67.6,62,57.3,53.2,49.8,46.6,43.5,40.5,37.7
Kiribati,KIR,,,,121.4,117.4,113.3,109.5,105.9,102.4,99.3,96.5,93.9,91.8,90.1,88.8,87.7,86.9,86.3,85.8,85.5,85.2,84.7,84.1,83.3,82.3,80.8,78.9,76.8,74.3,71.6,69.1,66.8,64.8,63.1,61.6,60.3,59,57.8,56.4,55.1,53.8,52.5,51.6,50.8,50.5,50.4,50.4,50.5,50.4,50.1,49.4
