"Age"	"Height"	"Weight"
"child"	59.68492	88.22
"adult"	61.4172	165.44
"child"	64.44869	99
"child"	66.77152	175.78
"adult"	62.36208	162.58
"child"	59.96051	92.62
"child"	59.52744	87.56
"child"	51.37785	66.66
"child"	52.3621	76.78
"child"	66.65341	115.28
"adult"	65.98412	182.38
"adult"	60.47232	207.02
"adult"	65.82664	240.46
"adult"	62.79515	175.78
"child"	58.18886	92.4
"adult"	63.66129	202.4
"child"	60.15736	99.44
"adult"	59.01563	146.3
"child"	41.10228	47.96
"child"	58.70067	108.24
"adult"	62.79515	262.46
"child"	44.33062	49.94
"child"	37.7952	29.7
"adult"	62.5983	112.42
"child"	65.78727	132.88
"child"	67.20459	155.32
"child"	35.39363	26.84
"adult"	67.83451	167.86
"adult"	58.97626	165.88
"adult"	69.44868	172.92
"child"	56.2991	91.52
"adult"	61.10224	98.78
"adult"	63.18885	201.74
"adult"	59.96051	188.32
"child"	61.65342	180.62
"adult"	63.26759	137.5
"adult"	61.25972	158.18
"child"	63.22822	203.72
"adult"	65.66916	192.94
"child"	68.81876	143
"adult"	59.52744	96.14
"adult"	69.09435	124.3
"child"	37.04717	29.04
"child"	62.48019	128.92
"adult"	65.43294	409.2
"adult"	67.48018	170.5
"adult"	61.96838	193.16
"child"	57.79516	121.44
"child"	64.92113	204.16
"adult"	59.21248	179.3
"child"	63.34633	115.5
"child"	61.22035	123.2
"child"	52.7558	62.92
"adult"	69.80301	150.48
"adult"	65.3542	176.44
"child"	47.67707	55
"child"	57.51957	90.2
"adult"	64.48806	134.86
"adult"	63.62192	167.64
"adult"	66.61404	133.1
"child"	59.56681	80.96
"child"	38.14953	36.96
"adult"	62.08649	166.32
"adult"	63.85814	166.76
"child"	43.38574	37.18
"adult"	65.03924	176.22
"adult"	61.10224	167.64
"child"	59.76366	138.16
"adult"	62.2046	167.86
"child"	61.8109	158.62
"child"	58.11012	118.14
"child"	58.93689	99.88
"adult"	67.87388	188.32
"adult"	60.51169	117.92
"adult"	62.08649	171.38
"child"	35.31489	25.96
"adult"	61.53531	178.64
"child"	62.2046	166.98
"child"	60.86602	125.4
"adult"	56.53532	117.7
"child"	40.51173	34.98
"adult"	63.81877	155.32
"adult"	62.08649	114.84
"adult"	66.929	190.74
"adult"	62.67704	171.6
"adult"	63.7794	159.06
"child"	66.69278	128.04
"child"	53.66131	70.62
"child"	58.46445	135.52
"adult"	64.92113	117.48
"adult"	65.62979	183.04
"child"	38.85819	32.56
"adult"	62.75578	228.36
"adult"	62.48019	238.26
"adult"	64.48806	183.26
"child"	61.96838	112.86
"adult"	63.66129	201.96
"adult"	65.51168	196.02
"adult"	64.68491	155.32
"child"	65.43294	130.24
"child"	61.65342	108.46
"adult"	65.86601	154.66
"child"	59.92114	133.76
"adult"	64.64554	182.16
"child"	37.55898	34.98
"child"	62.04712	123.2
"adult"	64.68491	161.92
"adult"	65.03924	192.06
"adult"	63.62192	146.08
"child"	35.55111	25.52
"child"	40.11803	36.96
"adult"	62.67704	152.68
"adult"	65.47231	207.02
"adult"	60.86602	114.62
"adult"	69.36994	192.28
"child"	62.67704	164.56
"adult"	64.05499	145.64
"adult"	63.14948	112.86
"adult"	65.62979	299.64
"child"	36.92906	31.68
"adult"	67.20459	251.68
"adult"	64.9605	188.32
"adult"	61.69279	132.44
"child"	56.6928	122.1
"adult"	61.14161	154.66
"adult"	62.51956	131.12
"adult"	67.40144	276.32
"adult"	60.47232	88.22
"adult"	62.44082	169.4
"child"	63.14948	145.64
"child"	56.18099	93.28
"child"	40.74795	35.2
"child"	39.13378	33.44
"child"	36.65347	32.34
"adult"	64.40932	170.5
"child"	57.0865	74.8
"child"	62.91326	131.12
"adult"	61.8109	128.26
"adult"	62.2046	133.54
"adult"	64.52743	158.62
"child"	38.46449	35.2
"adult"	60.66917	137.06
"child"	41.45661	39.38
"adult"	62.63767	212.96
"adult"	61.53531	181.5
"adult"	62.79515	180.4
"child"	36.25977	31.24
"child"	64.44869	230.78
"adult"	65.59042	173.8
"child"	61.22035	120.56
"child"	59.21248	76.78
"adult"	65.11798	135.08
"adult"	64.99987	147.18
"adult"	57.0865	150.26
"adult"	62.04712	100.54
"child"	44.25188	39.6
"child"	45.59046	43.78
"child"	53.77942	63.36
"child"	61.33846	137.72
"adult"	68.22821	189.86
"child"	65.23609	123.86
"adult"	67.12585	128.26
"child"	49.52746	66
"adult"	65.59042	236.5
"adult"	65.11798	130.46
"child"	62.12586	109.12
"adult"	63.81877	144.76
"adult"	61.8109	126.5
"adult"	61.29909	119.46
"child"	59.60618	91.3
"adult"	65.39357	171.38
"child"	60.43295	92.18
"child"	58.89752	157.3
"child"	59.60618	131.12
"adult"	64.05499	204.82
"adult"	65.98412	168.96
"adult"	63.66129	265.98
"child"	61.22035	93.72
"adult"	67.24396	226.16
"adult"	68.8975	234.3
"child"	33.03143	26.4
"adult"	62.48019	168.08
"adult"	65.03924	203.28
"adult"	63.3857	146.74
"adult"	66.29908	128.48
"adult"	63.85814	143
"child"	44.99991	42.02
"child"	61.25972	108.9
"child"	60.66917	108.02
"adult"	58.74004	97.02
"child"	53.89753	116.16
"child"	47.87392	46.64
"adult"	64.92113	187
"adult"	66.22034	133.1
"adult"	61.14161	170.94
"adult"	62.87389	178.2
"adult"	69.33057	160.38
"adult"	61.14161	161.92
"adult"	66.10223	251.24
"adult"	67.44081	181.28
"adult"	58.30697	107.58
"adult"	66.06286	126.28
"adult"	61.53531	199.54
"adult"	64.48806	139.92
"child"	62.28334	179.3
"adult"	60.35421	139.48
"adult"	64.48806	168.96
"child"	57.95264	92.62
"child"	55.55107	89.32
"child"	36.49599	28.82
"adult"	63.97625	142.34
"child"	41.53535	37.84
"child"	63.7794	106.26
"adult"	62.51956	185.24
"child"	36.77158	30.58
"adult"	66.41719	227.04
"child"	58.74004	85.58
"adult"	68.46443	204.38
"adult"	58.54319	110.88
"child"	44.17314	44.88
"adult"	62.32271	166.54
"child"	51.02352	74.36
"child"	36.96843	35.64
"adult"	69.88175	201.52
"child"	50.74793	59.62
"child"	33.38576	27.72
"adult"	62.04712	152.02
"adult"	58.97626	167.64
"adult"	62.87389	123.86
"adult"	61.18098	142.56
"adult"	62.04712	150.7
"child"	60.90539	100.32
"child"	37.28339	28.6
"child"	63.42507	104.06
"child"	59.36996	95.92
"child"	60.55106	86.46
"child"	64.05499	119.68
"adult"	65.19672	179.96
"child"	62.83452	108.9
"child"	63.62192	129.36
"child"	39.44874	36.3
"adult"	65.62979	183.92
"child"	56.10225	103.62
"adult"	62.2046	137.94
"adult"	63.42507	141.9
"child"	63.14948	194.26
"adult"	68.38569	218.9
"child"	39.52748	36.74
"adult"	57.75579	131.56
"child"	63.26759	107.14
"child"	41.49598	40.26
"child"	44.13377	40.26
"child"	43.42511	52.58
"adult"	65.94475	155.32
